produk-href,produk_name,price,description,usia,brand,picture_src-src,category,tipe_produk,manfaat
https://babyzania.com/beli-popok/yummy-bites-yogurt-melt-mixed-berries,Yummy Bites Yogurt Melt 20gr - Mixed Berries,Rp 34.500,"Yummy Bites Yogurt Melt Mixed Berries adalah makanan selingan yogurt rasa pisang yang baik untuk dikonsumsi selama masa tumbuh kembang anak. Kandungan gizi yang seimbang dan juga probiotik pada yogurt dapat membantu memperkuat sistem imunitas tubuh dan juga berfungsi untuk melancarkan pencernaan sang buah hati. Dilengkapi dengan vitamin A, vitamin C dan kalsium, Gluten Free.",toddler ,Yummy Bites,https://assets.babyzania.com/image/cache/catalog/1/yummy123-banana-250x250.jpg,makanan,snack,mpasi
https://babyzania.com/beli-popok/yummy-bites-yogurt-melt-banana-honey,Yummy Bites Yogurt Melt 20gr - Banana Honey,Rp 34.500,Yummy Bites Yogurt Melt Banana Honey adalah makanan selingan yogurt rasa pisang yang baik untuk dikonsumsi selama masa tumbuh kembang anak. Kandungan gizi yang seimbang dan juga probiotik pada yogurt dapat membantu memperkuat sistem imunitas tubuh dan juga berfungsi untuk melancarkan pencernaan sang buah hati.,toddler ,Yummy Bites,https://assets.babyzania.com/image/cache/catalog/1/yummy-bites-baby-rice-cracker-50-gram-banana-3257-250x250.JPG,makanan,snack,mpasi
https://babyzania.com/beli-popok/yummy-bites-yogurt-melt-strawberry,Yummy Bites Yogurt Melt 20gr - Strawberry,Rp 34.500,Yummy Bites Yogurt Melt Strawberry adalah makanan selingan yogurt rasa pisang yang baik untuk dikonsumsi selama masa tumbuh kembang anak. Kandungan gizi yang seimbang dan juga probiotik pada yogurt dapat membantu memperkuat sistem imunitas tubuh dan juga berfungsi untuk melancarkan pencernaan sang buah hati.,toddler ,Yummy Bites,https://assets.babyzania.com/image/cache/catalog/1/YB-straw1-337x395-250x250.jpg,makanan,snack,mpasi
https://babyzania.com/beli-popok/promina-baby-crunchies-keju-cheddar-20gr,Promina Baby Crunchies Keju Cheddar Snack Bayi - 20gr,Rp 11.000,"Promina Baby Crunchies Keju Cheddar adalah MPASI berupa camilan yang bergizi dengan formula 4 Te-PAT dimana tekstur, pilihan rasa dan asupan gizinya disesuaikan dengan kebutuhan setiap tahapan usia bayi dan anak.
Faktanya, keterampilan makan terstimulasi saat anak menyesuaikan gerakan mulut dengan ukuran, tekstur dan rasa makanan.",toddler ,Promina,https://assets.babyzania.com/image/cache/catalog/1/45b74dec72ba8aa21262da21aa274df3-250x250.jpg,makanan,snack,mpasi
https://babyzania.com/beli-popok/promina-puffs-strawberry-apple-8m-15gr,Promina Puffs Strawberry Apple 8m+ - 15gr,Rp 6.200,Promina Puffs merupakan makanan selingan berupa snack beras untuk bayi dan anak usia 8-24 bulan,toddler ,Promina,https://assets.babyzania.com/image/cache/catalog/1/peachy straw-250x250.jpg,makanan,snack,mpasi
https://babyzania.com/beli-popok/promina-puffs-sweet-potato-8m-15gr,Promina Puffs Sweet Potato 8m+ - 15gr,Rp 6.200,Promina Puffs merupakan makanan selingan berupa snack beras untuk bayi dan anak usia 8-24 bulan,toddler ,Promina,https://assets.babyzania.com/image/cache/catalog/1/peachy straw-250x250.jpg,makanan,snack,mpasi
https://babyzania.com/beli-popok/peachy-training-biscuits-with-nine-veggies-1y,Peachy Training Biscuits With Nine Veggies Biskuit Anak - 1y+,Rp 40.000,"Biskuit peachy veggie tersedia dalam tiga warna berbeda, merah, oranye dan hijau dan mengandung total 9 bahan nabati yang berbeda. Biskuitnya dirancang dengan ukuran yang pas untuk dipegang balita dan juga merupakan sumber minyak Omega 3, 6 dan 9 yang penting untuk perkembangan otak.",toddler ,Peachy,https://assets.babyzania.com/image/cache/catalog/peachy/peachy_apple puree-250x250.jpg,makanan,snack,mpasi
https://babyzania.com/beli-popok/ivenet-sprinkling-recipe-seaweed-laver-30-gr,Ivenet Springkling Recipe Seaweed Laver Rumput Laut Tabur - 30gr,Rp 63.000,"Ivenet Bebe Springkling Recipe merupakan taburan sayuran kering untuk onigiri rasa rumput laut praktis bagi anak-anak yang mengandung berbagai macam bahan makanan seperti sayuran, seafood, rumput laut, dan beras merah. Ivenet Bebe Springkling Recipe diciptakan untuk menjaga keseimbangan gizi sang buah hati.",toddler ,Ivenet,https://assets.babyzania.com/image/cache/catalog/1/beberoll-all-250x250.jpg,makanan,snack,mpasi
https://babyzania.com/beli-popok/happy-tummy-organic-noodles-150g-tersedia-pilihan-rasa,Happy Tummy Organic Noodles Mie Organik Bayi / Anak 150 gr,Rp 33.900,Happy Tummy Organic Noodles merupakan Makanan selingan untuk anak usia 1-3 tahun dalam bentuk mie yang terbuat dari bahan-bahan organik tanpa Pengawet dan tanpa pewarna sintetis.,toddler ,Happy Tummy,https://assets.babyzania.com/image/cache/catalog/simba/socks/IMG20150129WA0004-250x250.jpg,makanan,snack,mpasi
https://babyzania.com/beli-popok/happy-tummy-puff-30g-apple-bananablueberry,Happy Tummy Puff Snack Bayi / Anak 30 gr - Apple Banana / Blueberry,Rp 33.120,"Makanan selingan Puff Rasa Blueberry, Apel dan Pisang untuk anak usia 1-3 tahun yang mudah dipegang untuk berlatik motorik si kecil. Tersedia dalam varian rasa Apple Banana & Blueberry",toddler ,Happy Tummy,https://assets.babyzania.com/image/cache/catalog/simba/socks/IMG20150129WA0004-250x250.jpg,makanan,snack,mpasi
